id_jur,nm_jur,nm_intl_jur,u_sma,u_smk,u_pt,u_slb,id_jenj_didik,id_induk_jurusan,id_kel_bidang
"13371     ","Kesehatan Lingkungan (Kampus Purwokerto)",NULL,0,0,1,0,23,NULL,11
"13411     ",Gizi,NULL,0,0,1,0,22,NULL,11
"13441     ","Hiperkes Dan Keselamatan Kerja",NULL,0,0,1,0,22,NULL,11
"13451     ","Keperawatan D3",NULL,0,0,1,0,22,NULL,11
"13453     ","Analis Kesehatan",NULL,0,0,1,0,22,NULL,11
"13456     ","Analis Kesehatan",NULL,0,0,1,0,22,NULL,11
"13461     ","Administrasi Rumah Sakit",NULL,0,0,1,0,22,NULL,11
"13462     ","Perekam dan Informasi Kesehatan",NULL,0,0,1,0,22,NULL,11
"13471     ","Kesehatan Lingkungan (Kampus Kabanjahe)",NULL,0,0,1,0,22,NULL,11
"13472     ","Perekam Medis & Informasi Kesehatan (Kampus Cirebon)",NULL,0,0,1,0,22,NULL,11
"13473     ","Gizi (Kampus Luar Domisili)",NULL,0,0,1,0,22,NULL,11
"13541     ","Keselamatan dan Kesehatan Kerja",NULL,0,0,1,0,21,NULL,11
"13701     ","Gizi Klinik",NULL,0,0,1,0,32,NULL,11
"13901     ","Profesi Kesehatan Masyarakat",NULL,0,0,1,0,25,NULL,11
"14001     ","Ilmu Keperawatan",NULL,0,0,1,0,40,NULL,11
"14101     ","Ilmu Keperawatan",NULL,0,0,1,0,35,NULL,11
"14102     ","Keperawatan Terapan",NULL,0,0,1,0,35,NULL,11
"14201     ","Ilmu Keperawatan",NULL,0,0,1,0,30,NULL,11
"14202     ","Ilmu Keperawatan Gigi",NULL,0,0,1,0,30,NULL,11
"14301     ",Keperawatan,NULL,0,0,1,0,23,NULL,11
"14371     ","Keperawatan (Kampus Bima)",NULL,0,0,1,0,23,NULL,11
"14401     ",Keperawatan,NULL,0,0,1,0,22,NULL,11
"14471     ","Kebidanan (Kampus Rangkas Bitung)",NULL,0,0,1,0,22,NULL,11
"14472     ","Keperawatan  (Kampus Masohi)",NULL,0,0,1,0,22,NULL,11
"14473     ","Keperawatan ( Kampus Wamena)",NULL,0,0,1,0,22,NULL,11
"14474     ","Keperawatan (Kampus Biak)",NULL,0,0,1,0,22,NULL,11
"14475     ","Keperawatan (Kampus Mimika)",NULL,0,0,1,0,22,NULL,11
"14476     ","Keperawatan (Kep. Yapen)",NULL,0,0,1,0,22,NULL,11
"14701     ","Ilmu Keperawatan",NULL,0,0,1,0,32,NULL,11
"14901     ",Ners,NULL,0,0,1,0,25,NULL,11
"15101     ","Ilmu Kebidanan",NULL,0,0,1,0,35,NULL,11
"15102     ","Kebidanan Terapan",NULL,0,0,1,0,35,NULL,11
"15201     ",Kebidanan,NULL,0,0,1,0,30,NULL,11
"15301     ","Bidan Pendidik",NULL,0,0,1,0,23,NULL,11
"15302     ",Kebidanan,NULL,0,0,1,0,23,NULL,11
"15371     ","Kebidanan (Kampus Cirebon)",NULL,0,0,1,0,23,NULL,11
"15372     ","Kebidanan (Kampus Jember)",NULL,0,0,1,0,23,NULL,11
"15373     ","Kebidanan (Kampus Kediri)",NULL,0,0,1,0,22,NULL,11
"15401     ",Kebidanan,NULL,0,0,1,0,22,NULL,11
"15471     ","Kebidanan  (Kampus Saumlaki)",NULL,0,0,1,0,22,NULL,11
"15472     ","Kebidanan (Kampus Bangkalan)",NULL,0,0,1,0,22,NULL,11
"15473     ","Kebidanan (Kampus Blora)",NULL,0,0,1,0,22,NULL,11
"20001     ","Ilmu Teknik Elektro",NULL,0,0,1,0,40,NULL,12
"20002     ","Opto Elektroteknika Laser",NULL,0,0,1,0,40,NULL,12
"20003     ","Ilmu Teknik",NULL,0,0,1,0,40,NULL,12
"20101     ","Teknik Elektro",NULL,0,0,1,0,35,NULL,12
"20102     ","Opto Elektronika Dan Aplikasi Laser",NULL,0,0,1,0,35,NULL,12
"20201     ","Teknik Elektro",NULL,0,0,1,0,30,NULL,12
"20202     ","Teknik Telekomunikasi",NULL,0,0,1,0,30,NULL,12
"20203     ","Teknik Listrik",NULL,0,0,1,0,30,NULL,12
"20301     ","Instrumentasi Dan Otomasi Industri",NULL,0,0,1,0,23,NULL,12
"20302     ","Teknik Telekomunikasi",NULL,0,0,1,0,23,NULL,12
"20303     ","Sistem Kelistrikan",NULL,0,0,1,0,23,NULL,12
"20304     ","Jaringan Telekomunikasi Digital",NULL,0,0,1,0,23,NULL,12
"20305     ","Teknik Listrik",NULL,0,0,1,0,23,NULL,12
"20306     ","Instrumentasi Meteorologi Klimatologi dan Geofisika",NULL,0,0,1,0,23,NULL,4
"20401     ",Elektromedik,NULL,0,0,1,0,22,NULL,12
"20402     ","Teknik Telekomunikasi",NULL,0,0,1,0,22,NULL,12
"20403     ","Teknik Elektro",NULL,0,0,1,0,22,NULL,12
"20404     ","INSTRU meteorologi klimatologi&geofisika",NULL,0,0,1,0,22,NULL,12
"20405     ","Teknik Listrik",NULL,0,0,1,0,22,NULL,12
