id_wil,nm_wil,asal_wil,kode_bps,kode_dagri,kode_keu,id_induk_wilayah,id_level_wil,id_negara
"020805  ","Kec. Kertasari                ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020806  ","Kec. Pacet                    ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020807  ","Kec. Ibun                     ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020808  ","Kec. Paseh                    ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020809  ","Kec. Cikancung                ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020810  ","Kec. Cicalengka               ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020811  ","Kec. Rancaekek                ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020812  ","Kec. Majalaya                 ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020813  ","Kec. Ciparay                  ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020814  ","Kec. Bale Endah               ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020815  ","Kec. Arjasari                 ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020816  ","Kec. Banjaran                 ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020817  ","Kec. Pameungpeuk              ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020818  ","Kec. Ketapang                 ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020819  ","Kec. Soreang                  ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020820  ","Kec. Marga Asih               ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020821  ","Kec. Margahayu                ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020822  ","Kec. Dayeuhkolot              ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020823  ","Kec. Bojongsoang              ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020824  ","Kec. Cileunyi                 ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020825  ","Kec. Cilengkrang              ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020826  ","Kec. Cimenyan                 ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020829  ","Kec. Rancabali                ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020830  ","Kec. Nagreg                   ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020831  ","Kec. Solokan Jeruk            ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020832  ","Kec. Cangkuang                ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"020833  ","Kec. Kutawaringin             ","NULL    ",NULL,NULL,NULL,"020800  ",3,ID
"021000  ","Kab. Sumedang                 ","NULL    ",NULL,NULL,NULL,"020000  ",2,ID
"021001  ","Kec. Jatinangor               ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021002  ","Kec. Cimanggung               ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021003  ","Kec. Tanjungsari              ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021004  ","Kec. Rancakalong              ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021005  ","Kec. Sumedang Selatan         ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021006  ","Kec. Sumedang Utara           ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021007  ","Kec. Situraja                 ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021008  ","Kec. Darmaraja                ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021009  ","Kec. Cibugel                  ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021010  ","Kec. Wado                     ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
"021012  ","Kec. Tomo                     ","NULL    ",NULL,NULL,NULL,"021000  ",3,ID
